0.153049,0.152207,0.187037,0.403572,1.224436,1.571484,2.798886,1.819355,1.145907,2.081225,3.659789,3.661968,0.987595,1.280362,0.504333,1.097314,1.517422,0.714047,1.284632,1.934255,1.557626,0.347541,0.812851,0.743361,1.348472,1.768197,1.114663,0.825572,1.024723,0.761844,0.404815,0.279923,0.167405,0.607251,12.000000
0.170110,0.264178,0.291405,0.560599,1.232386,1.529429,2.166812,0.953202,0.816474,2.145152,3.446677,3.516567,1.546839,1.056930,0.859295,1.023001,1.869601,1.224717,0.787843,1.549358,1.650640,0.987939,1.043562,0.460630,1.056810,0.597811,0.462927,0.586193,0.528993,0.395674,0.258488,0.401026,0.444019,0.478715,12.000000
0.155907,0.148887,0.194054,0.421482,1.240176,1.626193,2.799677,1.834579,1.096560,2.091973,3.631473,3.634046,1.014719,1.291018,0.525095,1.063953,1.516743,0.707573,1.283302,1.948889,1.588260,0.369261,0.826533,0.758345,1.291047,1.765079,1.094849,0.804679,1.010546,0.760954,0.415789,0.282534,0.170665,0.604418,12.000000
0.173846,0.252128,0.282621,0.572985,1.248372,1.577297,2.171089,0.962967,0.789280,2.171867,3.420846,3.473492,1.530644,1.065571,0.879168,0.981808,1.855772,1.197020,0.804650,1.555523,1.673485,1.008126,1.041454,0.459499,1.040029,0.598138,0.463033,0.576144,0.527432,0.399022,0.263256,0.407441,0.442823,0.474583,12.000000
0.164291,0.147288,0.202701,0.440208,1.256578,1.681315,2.796457,1.847143,1.044273,2.097154,3.598477,3.600971,1.048513,1.301813,0.547243,1.025837,1.517611,0.695250,1.281776,1.960432,1.619178,0.393386,0.842621,0.776291,1.229454,1.758994,1.073540,0.780893,0.993420,0.761472,0.425424,0.287022,0.175678,0.599905,12.000000
0.180652,0.240082,0.275181,0.585852,1.263954,1.624304,2.174113,0.971319,0.763267,2.195027,3.389813,3.424848,1.519068,1.075093,0.899785,0.938009,1.842083,1.164872,0.821623,1.560613,1.694766,1.028413,1.039507,0.462786,1.023307,0.598965,0.462935,0.566525,0.525862,0.402600,0.267342,0.415480,0.441398,0.469821,12.000000
0.188226,0.218412,0.262136,0.581019,1.278036,1.677662,2.252866,1.088304,0.771421,2.200492,3.382071,3.399466,1.457121,1.112706,0.877087,0.905302,1.790111,1.076403,0.892399,1.616414,1.705284,0.970145,1.015915,0.508172,1.029115,0.743305,0.537161,0.582381,0.581436,0.450917,0.292651,0.407072,0.407815,0.481843,12.000000
0.196349,0.209706,0.257989,0.594724,1.293358,1.721466,2.253543,1.093024,0.743001,2.215852,3.341821,3.346629,1.459234,1.123861,0.898819,0.861079,1.778298,1.041868,0.905592,1.620564,1.723634,0.991605,1.016949,0.517085,1.009605,0.742849,0.534754,0.570949,0.578389,0.454826,0.298577,0.415858,0.407625,0.477397,12.000000
0.189454,0.148069,0.228862,0.501645,1.309565,1.834724,2.775365,1.865520,0.878144,2.093321,3.476865,3.485387,1.170568,1.336684,0.618595,0.895328,1.524753,0.637201,1.269820,1.984113,1.702613,0.478734,0.906038,0.832861,1.056800,1.726071,0.996241,0.719790,0.944340,0.755547,0.455932,0.305208,0.193608,0.582261,12.000000
0.201051,0.210246,0.257975,0.624360,1.307806,1.752012,2.179456,0.986176,0.690916,2.247966,3.274974,3.263448,1.507661,1.107145,0.962422,0.806993,1.802742,1.058041,0.867390,1.572820,1.744862,1.089266,1.035107,0.482980,0.983754,0.600959,0.466942,0.537556,0.523809,0.416250,0.284263,0.441047,0.438354,0.458747,12.000000
0.189281,0.149329,0.236200,0.525225,1.327264,1.880460,2.765398,1.866353,0.816725,2.086281,3.431871,3.440486,1.217444,1.349024,0.642271,0.848354,1.529088,0.611066,1.263641,1.988794,1.726663,0.510748,0.931546,0.851460,1.004744,1.711989,0.965286,0.703704,0.931250,0.749958,0.467446,0.311147,0.198967,0.577386,12.000000
0.200546,0.203325,0.253982,0.637957,1.321032,1.789148,2.180550,0.987806,0.667842,2.260334,3.232179,3.204870,1.511602,1.119344,0.982131,0.764883,1.790977,1.020451,0.880210,1.576054,1.756677,1.109303,1.033606,0.491787,0.974069,0.602449,0.470134,0.529702,0.524412,0.421190,0.290640,0.449551,0.438285,0.456117,12.000000
0.185313,0.151607,0.243959,0.550629,1.345071,1.924182,2.751755,1.863961,0.749818,2.074677,3.380789,3.391728,1.267477,1.362029,0.667537,0.795670,1.533098,0.582869,1.255646,1.990094,1.749910,0.546146,0.958667,0.870127,0.948838,1.697755,0.929349,0.686730,0.917921,0.743982,0.478225,0.318308,0.205664,0.570770,12.000000
0.193977,0.197735,0.251647,0.652903,1.332786,1.824216,2.179995,0.988005,0.645629,2.268704,3.184332,3.142213,1.519142,1.131725,1.002935,0.721510,1.777881,0.979629,0.891596,1.578610,1.765597,1.129356,1.030963,0.502590,0.963297,0.606037,0.473382,0.525161,0.525586,0.425191,0.297048,0.459713,0.439026,0.452458,12.000000
0.173133,0.154950,0.252166,0.577559,1.360930,1.966368,2.734505,1.861173,0.684512,2.059194,3.328137,3.343846,1.317366,1.374587,0.694173,0.742914,1.535273,0.557687,1.247898,1.987301,1.773465,0.582761,0.984726,0.889775,0.892890,1.682799,0.894864,0.669444,0.903740,0.738536,0.488398,0.327066,0.212579,0.563977,12.000000
0.180626,0.193078,0.250895,0.668877,1.342472,1.857418,2.177579,0.987936,0.626108,2.273922,3.135042,3.080784,1.528105,1.143653,1.024415,0.682427,1.763441,0.941239,0.902516,1.579187,1.773806,1.147708,1.028000,0.515589,0.952376,0.610404,0.476072,0.523162,0.526704,0.429279,0.304421,0.469853,0.439707,0.449860,12.000000
